name,split,score,sharpe,total_return_pct,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,annual_turnover,backtest_seconds,fee_rate,slippage_bps,processed_bars,total_bars,processed_bars_pct,status,error
current_strategy_cost_default,val,14.133140787945164,14.133140787945164,79.6819883489966,1.2235362706351847,6469,74.481772694782,7.957803272508914,43603041.40990142,295.5747218132019,0.0005,1.0,6552,6552,100.0,full-horizon,
current_strategy_cost_x2,val,10.930967558759948,10.930967558759948,56.697576657789206,1.232220548618307,6469,73.37383845604003,7.519985852298368,40474810.16703318,280.18138432502747,0.001,2.0,6552,6552,100.0,full-horizon,
current_strategy_cost_x3,val,6.865714268501674,6.865714268501674,32.397570892216315,1.2440769447600126,6469,70.19299499642602,6.336070030720319,36999494.65870469,293.4785888195038,0.0015,5.0,6552,6552,100.0,full-horizon,
